manifold,repeat,n,n_scaffold,n_contraction,sigma,gp_method,gp_amplitude,gp_rho,gp_length_scale_equivalent,gp_noise_sd,eb_success,eb_status,eb_iterations,eb_objective,eb_message,eb_at_bound,scaffold_hausdorff,average_hausdorff,gp_hausdorff,gp_better_than_average,scaffold_directed_error,average_directed_error,gp_directed_error,mean_direction_signal,min_direction_signal,median_cylinder_size,min_cylinder_size,ball_fallback_count,ball_fallback_fraction,cylinder_fallback_count,cylinder_fallback_fraction,mean_posterior_sd,mean_frequentist_sd,mean_posterior_to_frequentist_sd,max_posterior_to_frequentist_sd,posterior_band_covers_truth,frequentist_band_covers_truth,posterior_max_halfwidth,posterior_max_width_over_noise,posterior_width_below_noise,posterior_band_inside_noise,max_posterior_boundary_distance,mean_average_local_error,mean_gp_local_error,high_curvature_average_error,high_curvature_gp_error,high_curvature_gp_improvement,scaffold_center_x,scaffold_center_y,scaffold_min_radius,scaffold_max_radius
ellipse,2,3000,1500,1500,0.06,paper-eb,0.005691229367757862,0.20110979257440456,0.3171039203277094,0.05919670262515163,True,0,12,-5646.17217831707,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03396433450276767,0.026103390949446637,0.025182430371181,1,0.03396433450276767,0.026103390949446637,0.025182430371181,0.06109996075786775,0.0245691003344417,42.0,27,0,0.0,0,0.0,0.009533994517676576,0.009310639844137377,1.0239465495213405,1.03807658751966,1,1,0.03898388317198028,0.33149560520391397,1,1,0.05845370428422825,0.007252888941545026,0.007076657414692667,0.00941285553578043,0.009207290734285646,0.00020556480149478513,0.012638426947427011,-0.006201643927661636,0.8113074885357527,1.3839681615701835
ellipse,3,3000,1500,1500,0.06,paper-eb,0.005695466162855849,0.23709914805659277,0.3443102874273384,0.060236475898193136,True,0,11,-5688.97241627217,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.04115912205571456,0.0329233304746001,0.03146716165376092,1,0.04115912205571456,0.0329233304746001,0.03146716165376092,0.05999643492288228,0.02620425464410333,41.0,27,0,0.0,0,0.0,0.009547138590062008,0.009356700977421683,1.020383711930015,1.0300542701002884,0,0,0.03910115450601476,0.33249281042529555,1,1,0.05952870333548927,0.006904357785969177,0.006401540698958972,0.009779092348125873,0.008740732490968517,0.001038359857157355,0.008844022443540885,-0.039891174755716595,0.7758136980317089,1.3674706014536357
ellipse,4,3000,1500,1500,0.06,paper-eb,0.006458804920479469,0.19544216452707625,0.3126037144109745,0.06331563700727233,True,0,12,-5657.688388609053,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03959422248203424,0.02828831882368909,0.026397423955590606,1,0.03959422248203424,0.02828831882368909,0.026397039130709656,0.06324517289859272,0.03714557822228401,43.0,26,0,0.0,0,0.0,0.010154532925279562,0.00989593920699544,1.026095303109597,1.0471999285523519,1,1,0.04180152943761527,0.35545518229264683,1,1,0.061488925759085586,0.01050230961626693,0.009836054801801596,0.014229807462312984,0.012804373014326876,0.0014254344479861097,0.03938798866108936,0.007032333005828312,0.8051257440204532,1.4112970090027734
ellipse,5,3000,1500,1500,0.06,paper-eb,0.006294278974804149,0.13520147615148898,0.26000141937255744,0.06492158331545596,True,0,12,-5625.189142492662,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03834636699231105,0.04375555271427253,0.03355537175152037,1,0.03834636699231105,0.04375555271427253,0.03355537175152037,0.05921882715333407,0.032490050900904996,42.0,27,0,0.0,0,0.0,0.010566964263134459,0.010194550409370427,1.0366688909703083,1.0534973604629234,0,0,0.04264038517931247,0.36258830934789515,1,1,0.05745298104173707,0.008606838372717203,0.007939166934212018,0.012551437155823646,0.011718114410963045,0.0008333227448605994,-0.022984147598560063,-0.006486281932347372,0.8024264892429436,1.3948778277752154
ellipse,6,3000,1500,1500,0.06,paper-eb,0.005609570385130748,0.13012020819843564,0.2550688222798267,0.06436099133251043,True,0,11,-5631.392147305008,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03265099807155501,0.029338039035813883,0.028736640172195047,1,0.03265099807155501,0.029338039035813883,0.028736640172195047,0.06012066311355961,0.03138378286603189,42.5,24,0,0.0,0,0.0,0.010404128894682051,0.01003844509912302,1.036573007221558,1.0530956095064616,1,1,0.045720793272700865,0.38878225572024544,1,1,0.07093209819800508,0.007870680646741535,0.007241187892872556,0.009040871368344715,0.008194380338363323,0.0008464910299813898,-0.0038786898430036333,0.0014781969366888612,0.8021283230557078,1.376802958049992
ellipse,7,3000,1500,1500,0.06,paper-eb,0.006268699099553589,0.21941763464910946,0.3312232137464926,0.06274664783481755,True,0,12,-5503.961958105847,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03660792360239479,0.030443571994145317,0.028789457171032727,1,0.03660792360239479,0.030443571994145317,0.028789457171032727,0.06288110069848607,0.030186871392646464,40.0,28,0,0.0,0,0.0,0.010059643573899149,0.009850877592682102,1.0212080506797485,1.035219851003473,1,1,0.040490296784696254,0.3443052447678253,1,1,0.06557520257713088,0.01009258168445132,0.009672186329315473,0.014792808978436855,0.014054778603563866,0.0007380303748729893,-0.02445815077957926,-0.01009768836642295,0.8000898964276155,1.387895130307848
ellipse,8,3000,1500,1500,0.06,paper-eb,0.005605965736985182,0.2268169013902258,0.3367617120385168,0.062005744884967004,True,0,12,-5648.647738928486,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03927162434476179,0.02884549775278487,0.02634458380071307,1,0.03927162434476179,0.02884549775278487,0.02634458380071307,0.05993910913563761,0.022133888180029468,42.5,25,0,0.0,0,0.0,0.009828688128054045,0.009620188823797133,1.021619476070118,1.0384820944927573,1,1,0.041854854806595385,0.3559086293077839,1,1,0.06535134636967187,0.008313954525223103,0.0077530244085590675,0.00930827575453692,0.007949289460544302,0.0013589862939926169,0.03582156117996349,0.002688516532277342,0.8030679669250382,1.3978888367521298
ellipse,9,3000,1500,1500,0.06,paper-eb,0.005911450747028105,0.28177225148855456,0.3753480061813001,0.06283606166738122,True,0,13,-5525.098066952204,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03231554367858662,0.030183496587140736,0.027620205862453333,1,0.03231554367858662,0.030183496587140736,0.027620205862453333,0.061118085836466954,0.029633216521503126,41.5,25,0,0.0,0,0.0,0.009976076323876013,0.009798553016289294,1.0179139658141088,1.0396544813615791,1,1,0.04276271473469684,0.36362852665558537,1,1,0.06297614595736087,0.009772754523021173,0.009282854180600063,0.011748452910547031,0.010881900046382705,0.0008665528641643263,0.0011090998867540308,-0.008650765364102475,0.8005965427477901,1.382699839817565
ellipse,10,3000,1500,1500,0.06,paper-eb,0.005445606622489502,0.24322501695751222,0.34872985028350545,0.06040760831393038,True,0,10,-5644.070776734534,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.036468115420247416,0.02787245468609042,0.027201921514863427,1,0.036468115420247416,0.02787245468609042,0.027201921514863427,0.05931053267662603,0.02952219550447956,42.0,29,0,0.0,0,0.0,0.009603461232009503,0.00941537407411241,1.0199659595533577,1.03276854594229,1,1,0.03782530192429333,0.32164372384603174,1,1,0.06034418157285407,0.00829639847366669,0.007819647773110686,0.00894349247076831,0.008042332839412619,0.0009011596313556916,0.011745923701736757,-0.02278631964543761,0.7801520856812046,1.3749757778230698
ellipse,11,3000,1500,1500,0.06,paper-eb,0.005440999858628244,0.38952512274187145,0.4413191151207205,0.06058248895686482,True,0,12,-5614.472321631742,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.045635936706623054,0.03030402826911688,0.029307114567892822,1,0.045635936706623054,0.03030402826911688,0.029307114567892822,0.05866570744421243,0.025607775539715,41.5,30,0,0.0,0,0.0,0.009529931582114914,0.009391965946646588,1.0146503316983349,1.026256883800665,1,1,0.03700098604061131,0.31463423503921184,1,1,0.06310316868188792,0.010335334316088799,0.009728502579165388,0.01592326029395229,0.014734496557805827,0.0011887637361464648,0.006415877874927536,0.007928297245712491,0.8049826052013963,1.3656428048493678
ellipse,12,3000,1500,1500,0.06,paper-eb,0.005806539652924404,0.10946281066375872,0.2339474413877599,0.06110838089094967,True,0,10,-5674.2813364732,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03245730886595971,0.022482635696738286,0.022732672959517457,0,0.03245730886595971,0.02246633724121542,0.022732672959517457,0.06176288031093157,0.02704842042101796,41.0,29,0,0.0,0,0.0,0.010064541404531906,0.009621910281760617,1.0460734616884146,1.0763433721812596,1,1,0.04090282615325178,0.3478131475616648,1,1,0.059003337569953324,0.008516275520245219,0.008338251275598813,0.009082965044763395,0.007894716342344092,0.001188248702419303,0.015458606078411674,-0.011027446778139596,0.8029231044431266,1.3834550228722942
ellipse,13,3000,1500,1500,0.06,paper-eb,0.004808270082160209,0.23966079898745743,0.3461652777124371,0.06295662440189498,True,0,10,-5616.801893235973,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.036885944421498784,0.022566991117775163,0.023543443359208306,0,0.036885944421498784,0.022566991117775163,0.023543443359208306,0.05571731316100346,0.02785483511912151,42.0,29,0,0.0,0,0.0,0.009891295196348598,0.009696999277239179,1.0199710518660607,1.0323522900545343,1,1,0.03908802876572584,0.33238119698746466,1,1,0.0618982354493252,0.008285031696436275,0.008173073399871342,0.007986530228764206,0.007483455408574624,0.0005030748201895832,-0.016402343965325382,-0.0038789919291482146,0.8112997206567296,1.3810995955593988
