repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
13,0.02,102,0.029779412220990252,0.012917570488961184,0.012417746542054787,2,11.5,3,25.0
13,0.04,102,0.05962613285357043,0.025527967053064135,0.024296456686645335,2,12.0,3,25.0
13,0.06,102,0.089502753124525,0.05713249584088244,0.052403108929974684,2,12.0,3,25.0
13,0.08,102,0.11937245743330444,0.08917619361084715,0.07672186094623493,2,11.0,3,25.0
13,0.12,102,0.1789452086200393,0.13660553356836547,0.12499257288252348,2,10.0,3,24.0
14,0.0,102,2.2465853516685933e-05,0.005087443913990289,0.004486839048948819,3,12.0,6,28.0
14,0.01,102,0.013508085450098026,0.007633836949766382,0.0071804932386008635,2,12.0,6,28.0
14,0.02,102,0.027013907450266054,0.012488624541832222,0.012069464131788455,2,11.5,6,28.0
14,0.04,102,0.05399132679009612,0.024964668318932553,0.023729804460791294,3,11.0,4,28.0
14,0.06,102,0.08091262075345,0.040792452384284396,0.03675952168117922,3,11.0,4,26.0
14,0.08,102,0.10772935172657618,0.07042882811004338,0.06382737485554182,2,11.0,5,25.5
14,0.12,102,0.16110284958336332,0.10940448519741953,0.1008287811655298,2,10.0,6,26.0
15,0.0,102,2.2679776643749858e-05,0.00496125208924147,0.004245970843692791,2,11.0,8,21.0
15,0.01,102,0.012571217709898972,0.007743079928137665,0.0071748810491031895,2,11.0,8,21.0
15,0.02,102,0.025129321709541175,0.012679307108486143,0.012197843944829216,2,11.0,8,20.0
15,0.04,102,0.05021433166047833,0.023826399660827793,0.02315023768626203,2,11.0,9,20.0
15,0.06,102,0.07530324450112613,0.04022623463310967,0.03725502817782933,3,10.0,9,19.5
15,0.08,102,0.10043883319768804,0.06233382268002115,0.04989668244285514,2,10.0,9,20.0
15,0.12,102,0.15089793218822714,0.1096369841735429,0.11002054652779007,3,8.0,8,18.5
16,0.0,102,2.5429870755892327e-05,0.005143043401657388,0.0043457483603453,2,11.0,8,22.0
16,0.01,102,0.01277943371402515,0.006670711328700944,0.006277318480862892,2,11.0,8,21.5
16,0.02,102,0.025544959198799976,0.010057504304271053,0.009980851162419365,2,11.0,9,21.5
16,0.04,102,0.05103222304942946,0.02337387054799696,0.02130674540212693,3,10.5,8,22.0
16,0.06,102,0.0764558150902143,0.04268669124213393,0.036713501592535454,3,10.0,8,22.0
16,0.08,102,0.10180443573198956,0.06867963576158982,0.06570664255387194,1,10.0,8,22.5
16,0.12,102,0.15220399501815807,0.127726119125902,0.1273882577012901,1,9.0,7,21.5
17,0.0,102,2.520380804735601e-05,0.005992887212066555,0.005010446098998139,3,10.0,8,18.0
17,0.01,102,0.013392838555869122,0.008117982306410572,0.007334760596323987,3,10.0,7,18.0
17,0.02,102,0.026791943460343883,0.012078127548007125,0.011577067511262099,3,10.0,7,18.0
17,0.04,102,0.053647511982172144,0.020682411847829978,0.019948765128426527,3,9.5,7,19.0
17,0.06,102,0.08062155945367386,0.041264876778434226,0.03529887910781663,3,9.0,7,18.0
17,0.08,102,0.10772125611975221,0.0678921479240114,0.05332275733854716,3,8.0,9,19.0
