repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
13,0.04,250,0.05419231364209198,0.016901045632407463,0.01620728815059625,9,21.0,25,50.0
14,0.04,30,0.05817695295811321,0.04805308624285596,0.04743294191876997,2,3.0,3,6.0
14,0.04,50,0.05907033615498502,0.049956828843930455,0.049208028214708946,2,6.0,3,12.0
14,0.04,75,0.0549083840143812,0.03862493453877525,0.046534807518734164,1,10.0,5,17.0
14,0.04,102,0.056656511172803035,0.03685245758747196,0.03703178750678593,2,12.0,6,25.0
14,0.04,150,0.05989610269573487,0.020743252755020276,0.017986015171404503,5,17.0,11,36.0
14,0.04,250,0.056933728852308456,0.015542288602947821,0.015218708887590254,8,23.5,21,61.5
15,0.04,30,0.05349802237993512,0.04281237171610981,0.04211233559046426,1,4.0,3,6.5
15,0.04,50,0.05058338338771091,0.03572497134226479,0.035384934294229425,2,5.5,4,13.0
15,0.04,75,0.051526130388604055,0.026826182695306084,0.027468954775265102,1,8.0,3,19.0
15,0.04,102,0.05269793294278777,0.025377239330117637,0.02524411475632113,2,11.5,4,26.5
15,0.04,150,0.05384990042362252,0.021230642214052298,0.02068029988776226,4,17.0,10,38.0
15,0.04,250,0.05388053046792625,0.018552598543927153,0.017953617985076303,7,22.5,24,55.0
16,0.04,30,0.06038817005603238,0.03833580442162463,0.037715471676136675,1,4.0,1,9.0
16,0.04,50,0.057046637147232515,0.03613845257934655,0.034641416230472614,1,6.5,2,12.0
16,0.04,75,0.058364923612744694,0.03697766847819001,0.03941693034768836,3,10.0,4,20.0
16,0.04,102,0.06009316990575823,0.028687257651285363,0.027899261324472246,3,11.5,8,28.0
16,0.04,150,0.05785444057254366,0.02153177285835708,0.020520400720870673,5,14.0,11,35.5
16,0.04,250,0.05586050510200269,0.01882703297610458,0.016214105345024217,8,21.5,18,60.5
17,0.04,30,0.053420571208264045,0.04048729306221212,0.04032204190793888,2,4.0,2,7.5
17,0.04,50,0.053458079661829055,0.03095173394909517,0.030886999529309338,1,8.0,1,15.0
17,0.04,75,0.0555905179503993,0.026495182008339547,0.025856677801250953,2,9.0,5,20.0
17,0.04,102,0.05614481595121596,0.022610504785168448,0.02204481710105373,2,13.0,6,26.0
17,0.04,150,0.05588573609907903,0.02180524177835891,0.021068643061180795,3,17.0,13,36.0
17,0.04,250,0.05524722428159122,0.016685584546411048,0.015503484018907873,9,29.0,21,63.0
18,0.04,30,0.045696763449846474,0.03571141674855485,0.03482549708717853,2,3.0,3,6.0
18,0.04,50,0.05532711392947675,0.034116678518624086,0.03344825360975446,2,6.0,4,10.0
18,0.04,75,0.0554460903467658,0.030454785443138472,0.029848305278989965,2,7.0,6,14.0
18,0.04,102,0.05643567466547313,0.02698843333086676,0.02686017999327249,4,9.0,9,19.5
18,0.04,150,0.0575090359177751,0.023609884512434218,0.022625957295162084,6,12.0,15,26.5
18,0.04,250,0.05615537593029768,0.0184285939211265,0.017894130339151288,7,21.0,23,58.0
19,0.04,30,0.05601198067274722,0.04567533465929984,0.042606596215762675,2,4.0,3,7.5
19,0.04,50,0.04946312373534016,0.03952535704452235,0.03638381087888523,2,6.0,3,10.0
19,0.04,75,0.05312477213334842,0.03720392153269863,0.03469171583971516,2,10.0,4,17.0
19,0.04,102,0.05422043424309202,0.03299531811130921,0.030741412169766426,3,12.5,8,22.0
19,0.04,150,0.055549746792944145,0.021178351955679096,0.02041605464810908,4,17.0,10,38.0
19,0.04,250,0.05535347609130311,0.018818229687905495,0.01852180129876858,8,25.0,21,59.0
