point_index,z_x,z_y,ball_count,F_hat_x,F_hat_y,v_hat_x,v_hat_y,u_hat_x,u_hat_y,direction_signal,cylinder_count,cylinder_axial_average,cylinder_average_x,cylinder_average_y,contracted_x,contracted_y,smoothing_count,final_x,final_y,pre_smoothing_se_sampling,pre_smoothing_noise_only_se,final_se_sampling,final_noise_only_se,final_se_direction
44,-0.41041680422824894,0.8533237278216679,147,-0.4294108526569654,0.8856828073258448,-0.018994048428716437,0.032359079504176935,-0.5062139620351748,0.8624079224129673,0.0375217790365818,70,0.04775072450342009,-0.43348851148636214,0.8951502268877353,-0.43348851148636214,0.8951502268877353,7,-0.4311407612093619,0.8962950123891599,0.00657963153693509,0.007171371656006361,0.00816102440555162,0.00614614259230369,0.003402192172560431
45,0.14208363973074056,0.904968676443709,117,0.1597131630943841,0.9703474715890449,0.01762952336364354,0.06537879514533584,0.2603526766646753,0.9655135854836736,0.06771400851142283,70,0.08389807717738368,0.16007697009029292,0.987011504889754,0.16007697009029292,0.987011504889754,10,0.14948499353828573,0.9895880974755779,0.007258168239037525,0.007171371656006361,0.007231668589264483,0.006873580145408203,0.003361214441431927
46,-0.1181803968422841,0.9169697904799072,130,-0.12488061363942643,0.9724712865614691,-0.006700216797142333,0.05550149608156185,-0.1198511970113057,0.9927918666946044,0.05590446290252983,82,0.07183824775436286,-0.12276804161358422,0.9887757907389617,-0.12276804161358422,0.9887757907389617,21,-0.12336892228364771,0.9901643330290772,0.006498647100758206,0.006625891564490792,0.00624711419175172,0.006372966888587695,0.002250455591226745
47,-0.7552215487682914,0.5029944869363857,133,-0.8066330267425091,0.5452335939732952,-0.051411477974217745,0.04223910703690947,-0.7726654356154443,0.6348134565407352,0.06653782556387736,91,0.08193318710597809,-0.8203990870682569,0.5527299734132186,-0.8203990870682569,0.5527299734132186,30,-0.8211232291368201,0.5525470499022533,0.006606228194251709,0.00628970902033151,0.006174395142123989,0.005968964324637312,0.0017215813218519858
48,-0.9160605871075259,-0.28967796083172703,157,-0.9377514882337494,-0.3128844571276668,-0.021690901126223516,-0.023206496295939794,-0.6828481257112473,-0.7305603583637947,0.03176533742935957,109,0.04364806049047058,-0.9437721701647697,-0.3235221978701504,-0.9437721701647697,-0.3235221978701504,27,-0.9418960850234969,-0.32150764255117215,0.006757121067525771,0.0057469577113269076,0.0064474340877498405,0.0051066493250119995,0.0015115764594926307
49,0.9943904144123814,0.39754616788918723,139,0.9408770112164796,0.35903710124348504,-0.05351340319590181,-0.038509066645702195,-0.8116823599241215,-0.5840990896996919,0.06592899616656003,83,0.0804204646112717,0.935801022511536,0.3412809051859509,0.935801022511536,0.3412809051859509,16,0.9334770778194156,0.3399262511200382,0.005943472276093486,0.00658585559938142,0.007803531724155729,0.005173944002177558,0.002186119803610536
50,0.3337446244058331,0.9355402021543322,158,0.33558979368453073,0.9329643038416814,0.001845169278697656,-0.002575898312650815,0.5823331090712295,-0.8129502752809888,0.0031685804051920386,154,0.026371491368361335,0.3528066791104894,0.9167555036909062,0.3528066791104894,0.9167555036909062,30,0.35328939906506396,0.9277305694468947,0.00945468869671083,0.004834937784152281,0.005822660195991621,0.005642728851822534,0.0026646313360083316
51,-0.621089632013694,0.7523330343993517,164,-0.6270286341397715,0.7690402710945708,-0.005939002126077453,0.01670723669521912,-0.3349421407899943,0.9422386971054709,0.01773142702220069,95,0.02092068548189406,-0.6277184308446404,0.7721798327404067,-0.6277184308446404,0.7721798327404067,20,-0.6301153688891892,0.774374203813097,0.005960771071314724,0.006155870112510925,0.006110673719160189,0.005669466046341969,0.0026259281915890324
52,-0.9513113333522847,-0.39888403130240885,160,-0.9260539100591852,-0.38169247502070924,0.025257423293099435,0.017191556281699605,0.8266751761132499,0.5626794408880844,0.030553020125572643,100,0.03475829241595879,-0.9221983503152876,-0.3798833156910596,-0.9221983503152876,-0.3798833156910596,35,-0.9205332244375295,-0.3792710382483197,0.0057448656195184305,0.006,0.00615422790605232,0.005206593279266943,0.0013263690388601666
53,-0.9080237053760098,0.09733326413145689,135,-0.9685347531740778,0.11274660417458575,-0.06051104779806793,0.01541334004312886,-0.969056856318237,0.24683761711419844,0.062443237879735075,82,0.08909899436594723,-0.9940344615658822,0.12062663987481254,-0.9940344615658822,0.12062663987481254,10,-0.9862501519940023,0.1197744675132286,0.0063089449152134575,0.006625891564490792,0.007780102803649777,0.004964738353866467,0.002463175761220749
54,-0.44599778617820135,0.8825843150386035,155,-0.4552947458377521,0.878240816563619,-0.009296959659550741,-0.004343498474984497,-0.9059994208260096,-0.42327892631565667,0.010261551437940877,235,0.016530122739511655,-0.4603420680674427,0.8742347104729884,-0.4603420680674427,0.8742347104729884,11,-0.4607510804370795,0.8809997951624275,0.010928760197566365,0.0039139684383206535,0.0090015783812138,0.005611890126070133,0.002581652723465965
55,0.9515565666785472,-0.3975192563927211,140,0.9169633231134591,-0.3774458456740514,-0.03459324356508808,0.02007341071866975,-0.8649299351210576,0.5018926253009534,0.03999542871671603,80,0.0429768088120377,0.9185226930512007,-0.3688182516108677,0.9185226930512007,-0.3688182516108677,21,0.9163542730613502,-0.370603338242145,0.006616285225083815,0.006708203932499369,0.006457724096982719,0.00602070074986219,0.0021048527739246903
56,-0.5469462690524983,-0.808714901273716,164,-0.5592585072532645,-0.8222509230677928,-0.012312238200766212,-0.013536021794076758,-0.6728751565124887,-0.7397560569189643,0.018297953315114992,86,0.015023980476394187,-0.5529322082262361,-0.8235795186231022,-0.5529322082262361,-0.8235795186231022,25,-0.5523043000325188,-0.8268159458764504,0.005927833231162437,0.0064699663922063045,0.005639304081056209,0.006005438140999591,0.0015781635263819648
57,-0.33035287402392677,-0.9528007183822135,134,-0.3403961632285268,-0.9396135553671685,-0.010043289204600014,0.013187163015044967,-0.6058877337993495,0.7955501580865211,0.01657615535739832,135,0.059507222346317654,-0.3741325603437583,-0.9113430590752543,-0.3741325603437583,-0.9113430590752543,16,-0.3754419956452851,-0.9200736538439857,0.010422305644503173,0.0051639777949432225,0.0077921648688964295,0.005414529580229109,0.0026888913647964206
58,0.4503932150589124,-0.8670991748898291,148,0.45992225208340276,-0.8739061252994658,0.009529037024490372,-0.006806950409636636,0.8137134625289234,-0.5812662048486825,0.01171055594296704,87,0.010308611885715099,0.454990259529615,-0.8783985328385161,0.454990259529615,-0.8783985328385161,17,0.4524103182054674,-0.8795430726227972,0.008224699653530251,0.006432675209026769,0.007544688054140137,0.0059403509741573,0.001971697442507585
59,-0.9124320021430652,-0.5427963396325463,142,-0.8735198818827928,-0.5092227901512965,0.038912120260272354,0.0335735494812498,0.7571345126881893,0.6532590065941825,0.0513939327928874,85,0.06005185596795868,-0.8686232726333032,-0.5016445841607744,-0.8686232726333032,-0.5016445841607744,10,-0.8675337075832221,-0.4985851844316899,0.006380959213050304,0.006507913734559685,0.006273825442851199,0.00624695383202571,0.00289575852142779
60,0.12662377675450465,1.058803876437752,118,0.11471905960289962,1.009860682272873,-0.01190471715160503,-0.04894319416487902,-0.2363443789861001,-0.9716693545243025,0.050370214864746875,63,0.06641071246782715,0.11009410562973933,0.9944774496342644,0.11009410562973933,0.9944774496342644,19,0.11319668256867661,0.9938839126432136,0.008347243582432346,0.0075592894601845435,0.007215435681136594,0.006611769618387853,0.003478170028487294
61,0.6265242062647393,0.7340397098589495,162,0.6365724231894485,0.7593005383719686,0.010048216924709252,0.02526082851301914,0.3696105992974416,0.92918674381794,0.027185954471568113,93,0.03264459225522701,0.6403497828785426,0.7636726257184998,0.6403497828785426,0.7636726257184998,27,0.638747289702957,0.7664166813761398,0.006828159983890814,0.006221710168382551,0.0060755126574233535,0.005935804642152009,0.0017395701587058236
62,0.13667980447369663,-0.964464427662333,141,0.14414329001399884,-0.978787415109329,0.0074634855403022116,-0.014322987446996005,0.462109562043636,-0.8868228417603141,0.016150900464590365,82,0.023288036549754042,0.15024016429905057,-0.9836584129862995,0.15024016429905057,-0.9836584129862995,17,0.14967104021168764,-0.9809984657919486,0.007723878486407961,0.006625891564490792,0.007018605761646991,0.006148399042956794,0.0024992462699248933
63,-0.22202855415337958,0.9671733489648962,149,-0.2185043014217461,0.9672246684232099,0.0035242527316334815,5.131945831371443e-05,0.9998939938698417,0.014560254909060641,0.0035246263636345442,206,0.01234738969302592,-0.209639485278145,0.9644010166662464,-0.209639485278145,0.9644010166662464,13,-0.21483710933406375,0.9687031956879373,0.010871467998531033,0.004180398085749706,0.0071840366984188,0.006069244121091542,0.0025961034263013
64,-0.7120836745651953,0.799567737401411,142,-0.6641208013896464,0.759723659355071,0.047962873175548926,-0.03984407804633994,0.7692061481200048,-0.6390007055507726,0.062353730911763564,87,0.07291001958361913,-0.6528125886542098,0.7568160852391593,-0.6528125886542098,0.7568160852391593,21,-0.6489608879675384,0.7593333449376496,0.005974424256281732,0.006432675209026769,0.0066790195430107635,0.005678942927502703,0.0018674633662476578
