geometry,repeat,nominal_level,method,covered,mean_halfwidth,max_halfwidth,mean_width_over_sigma,max_width_over_sigma,strict_inside_noise,extra_radius_required,mean_empirical_sampling_variance,mean_noise_only_variance,mean_pre_smoothing_empirical_contraction_variance,mean_pre_smoothing_noise_only_variance
circle,6,0.8,sampling_only,1,0.02652853332419132,0.03818856137153261,0.4421422220698553,0.6364760228588769,1,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.8,sampling_plus_direction_additive,1,0.035788563982744964,0.1449280413432199,0.5964760663790828,2.415467355720332,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.8,sampling_plus_direction_rss,1,0.02827889248405204,0.11821257811832667,0.4713148747342007,1.9702096353054446,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.9,sampling_only,1,0.027603084946998452,0.039735408311503836,0.46005141578330755,0.6622568051917306,1,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.9,sampling_plus_direction_additive,1,0.03723819781796822,0.1507984247569009,0.6206366302994704,2.5133070792816814,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.9,sampling_plus_direction_rss,1,0.02942434328747873,0.12300083821928853,0.49040572145797884,2.0500139703214755,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.95,sampling_only,1,0.028640931572488607,0.041229417387219566,0.47734885954147677,0.6871569564536595,1,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.95,sampling_plus_direction_additive,1,0.038638314436053534,0.15646828508460311,0.6439719072675589,2.607804751410052,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.95,sampling_plus_direction_rss,1,0.030530667288828965,0.127625538868635,0.5088444548138161,2.1270923144772502,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.99,sampling_only,1,0.030927387698822837,0.044520834558187235,0.5154564616470473,0.7420139093031206,1,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.99,sampling_plus_direction_additive,1,0.04172287928444008,0.16895942449126786,0.6953813214073347,2.8159904081877976,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,6,0.99,sampling_plus_direction_rss,1,0.032967984353287474,0.13781411092971976,0.5494664058881246,2.296901848828663,0,0.0,4.463469321393605e-05,3.4202132974853936e-05,5.23996787004011e-05,3.992612910621049e-05
circle,7,0.8,sampling_only,1,0.026644712227829468,0.03581726644690999,0.44407853713049117,0.5969544407818331,1,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.8,sampling_plus_direction_additive,1,0.0361902686770338,0.13472959193595668,0.6031711446172301,2.2454931989326115,0,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.8,sampling_plus_direction_rss,1,0.028602641851835805,0.10903085955198372,0.47671069753059675,1.817180992533062,1,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.9,sampling_only,1,0.027723969735726998,0.03726806288992125,0.46206616226211666,0.6211343814986876,1,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.9,sampling_plus_direction_additive,1,0.037656173763511776,0.14018688201248367,0.6276028960585296,2.3364480335413944,0,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.9,sampling_plus_direction_rss,1,0.02976120628669787,0.11344720951132366,0.49602010477829783,1.8907868251887276,1,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.95,sampling_only,1,0.028766361500657037,0.03866930240293683,0.479439358344284,0.6444883733822806,1,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.95,sampling_plus_direction_additive,1,0.03907200583244078,0.14545775962322927,0.6512000972073464,2.424295993720488,0,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.95,sampling_plus_direction_rss,1,0.03088019597841074,0.11771270388590822,0.5146699329735124,1.9618783980984704,0,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.99,sampling_only,1,0.03106283091957431,0.04175634107542172,0.5177138486595718,0.6959390179236954,1,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.99,sampling_plus_direction_additive,1,0.0421911930305822,0.15706990934579101,0.7031865505097034,2.6178318224298502,0,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,7,0.99,sampling_plus_direction_rss,1,0.03334541653517016,0.1271099168315176,0.555756942252836,2.118498613858627,0,0.0,4.5092026696867625e-05,3.448050388890642e-05,5.037792545140507e-05,4.0094732702532604e-05
circle,8,0.8,sampling_only,1,0.0267353271984925,0.03756813308791945,0.44558878664154167,0.6261355514653243,1,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.8,sampling_plus_direction_additive,1,0.037369047890153315,0.15671155870998968,0.6228174648358886,2.6118593118331614,0,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.8,sampling_plus_direction_rss,1,0.029371646743872746,0.13423415096887728,0.48952744573121243,2.237235849481288,0,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.9,sampling_only,1,0.02781825511148128,0.03908984926733016,0.4636375851913547,0.6514974877888361,1,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.9,sampling_plus_direction_additive,1,0.03888270002321354,0.16305923943800396,0.6480450003868924,2.7176539906333996,0,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.9,sampling_plus_direction_rss,1,0.030561360109758885,0.13967137295914128,0.5093560018293147,2.327856215985688,0,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.95,sampling_only,1,0.028864191906224017,0.040559586009832525,0.4810698651037336,0.6759931001638755,1,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.95,sampling_plus_direction_additive,1,0.040344648174535175,0.1691900933527265,0.6724108029089196,2.8198348892121086,0,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.95,sampling_plus_direction_rss,1,0.03171043473388895,0.14492286797796108,0.5285072455648159,2.415381132966018,0,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
circle,8,0.99,sampling_only,1,0.031168471299114528,0.0437975293595119,0.5194745216519088,0.7299588226585317,1,0.0,4.544963477967823e-05,3.4664900619722055e-05,5.333038856953348e-05,4.026068768568537e-05
