point_index,z_x,z_y,ball_count,F_hat_x,F_hat_y,v_hat_x,v_hat_y,u_hat_x,u_hat_y,direction_signal,cylinder_count,cylinder_axial_average,cylinder_average_x,cylinder_average_y,contracted_x,contracted_y,smoothing_count,final_x,final_y,pre_smoothing_se_sampling,pre_smoothing_noise_only_se,final_se_sampling,final_noise_only_se,final_se_direction
1721,-1.0080691617798958,0.5413744343888608,127,-1.0118136789557386,0.5467604179107037,-0.0037445171758427875,0.005385983521842941,-0.570832914148122,0.8210662483168839,0.006559742935340175,66,0.011073189104900459,-1.0116927678401424,0.5523415342011645,-1.0116927678401424,0.5523415342011645,22,-1.011161891066064,0.5510539426992506,0.009238599856300924,0.0073854894587599635,0.008162660937625023,0.006321679556133058,0.002669858076590514
1722,1.4387998818773204,0.10249370087378837,133,1.3944135600527536,0.09285980094166227,-0.04438632182456681,-0.0096338999321261,-0.9772462384057513,-0.21210796666275775,0.045419792965360764,66,0.06482802858797834,1.3770117944202898,0.08153337292260819,1.3770117944202898,0.08153337292260819,13,1.380428712051238,0.08170277404543368,0.00800405983997746,0.0073854894587599635,0.007899033990518632,0.0071245906701569335,0.003040301588902617
1723,-0.12689830234144858,0.7323064293943816,133,-0.11479799801202126,0.7809184812661945,0.012100304329427325,0.048612051871812834,0.24154522548783533,0.970389563033337,0.050095398511765324,84,0.05897699137948263,-0.11249629232043379,0.7894981560324927,-0.11249629232043379,0.7894981560324927,26,-0.1112686746355993,0.7883868066074964,0.00681185410337623,0.006546536707079772,0.00707110322118663,0.005394936766767612,0.0015956201102786344
1724,-0.7593746618940216,0.4957931556892612,53,-0.807551302781161,0.5879294467169749,-0.048176640887139466,0.0921362910277137,-0.46336365311467587,0.8861682261129782,0.10397155789691695,64,0.1574701978460498,-0.8327241142474682,0.635137722568206,-0.8327241142474682,0.635137722568206,16,-0.8304053424576516,0.6380121525213215,0.008370591461231463,0.0075,0.0077221436527458165,0.006996642904884494,0.0030350859598369047
1725,0.48794536978442726,-0.8126347918362913,141,0.4893073566538655,-0.7641465093059154,0.0013619868694382253,0.04848828253037585,0.028077915285906505,0.9996057376151846,0.04850740717641043,86,0.060691719200779835,0.48908016026404816,-0.7519510098538614,0.48908016026404816,-0.7519510098538614,31,0.49258513396925124,-0.7501471278680966,0.007432280550665536,0.0064699663922063045,0.006746084110426054,0.005521292525955751,0.001690918002187782
1726,0.46605109238051395,0.7866050288466717,144,0.4560957244883523,0.7654329507668394,-0.00995536789216167,-0.021172078079832346,-0.42551836606941845,-0.9049497887383655,0.023395859464589046,88,0.023540027160871505,0.4537999666995528,0.7663531337618092,0.4537999666995528,0.7663531337618092,27,0.4577741228229062,0.7645948322111386,0.0070147840327812365,0.006396021490668312,0.006488979976171448,0.00604776128246114,0.0017973295453745121
1727,-0.7862467251924496,0.581833224663931,106,-0.8082971537395578,0.6291544085087564,-0.022050428547108147,0.04732118384482542,-0.4223696260885991,0.9064236862294459,0.0522064731579034,62,0.06794228421648502,-0.8157395637446578,0.6430467673679023,-0.8157395637446578,0.6430467673679023,15,-0.8213613339900453,0.6403778203559801,0.008517872800194061,0.00762000762001143,0.0077294066630231575,0.006996189042932208,0.0028140230020128176
1728,-0.30770800628730194,0.8835247857821262,87,-0.29584070030228826,0.8153688375543756,0.011867305985013676,-0.06815594822775062,0.17153896612422231,-0.9851773358644793,0.06918140089768177,59,0.09021290798718179,-0.29027633689897747,0.7949897634392169,-0.29027633689897747,0.7949897634392169,10,-0.2879542849551722,0.7949109348234423,0.009137245275748381,0.007811334658849432,0.008480515576373122,0.007317109690392415,0.004453265800579348
1729,-0.3017986183316374,-0.8101370081902061,134,-0.3046394293697613,-0.7809956982830543,-0.0028408110381238916,0.029141309907151802,-0.0970240597911793,0.9952820363201769,0.02927944928544576,77,0.03347208771182954,-0.3143884047053833,-0.7777335543459228,-0.3143884047053833,-0.7777335543459228,26,-0.3165851781813219,-0.7759976197521123,0.006505986314584251,0.006837634587578276,0.0065632018840442495,0.006153150723280154,0.001971064437665299
1730,-0.08608120881988678,0.7154507499320761,133,-0.07990033378864644,0.7772319035782548,0.006180875031240332,0.061781153646178644,0.09954772540307207,0.9950327885889362,0.06208956564515927,89,0.07182234758516955,-0.07289685174095638,0.7863126106020655,-0.07289685174095638,0.7863126106020655,33,-0.07141872884345771,0.7884158990953147,0.006236828436839173,0.00635998728003816,0.0060033305833433375,0.005831816166441058,0.001466915415126313
